"filename", "language", "GDScene", "GDScript", "comment", "blank", "total"
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Door.gd", "GDScript", 0, 112, 62, 33, 207
"d:\Program\GameProgramming\GameExplorer_V1\scenes\HPBean.gd", "GDScript", 0, 32, 3, 13, 48
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Hp_bean.tscn", "GDScene", 27, 0, 0, 9, 36
"d:\Program\GameProgramming\GameExplorer_V1\scenes\IronSword.tscn", "GDScene", 6, 0, 0, 3, 9
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Key.gd", "GDScript", 0, 40, 13, 16, 69
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Key.tscn", "GDScene", 28, 0, 0, 9, 37
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Player.gd", "GDScript", 0, 460, 130, 139, 729
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Sword.gd", "GDScript", 0, 85, 6, 17, 108
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Sword.tscn", "GDScene", 63, 0, 0, 12, 75
"d:\Program\GameProgramming\GameExplorer_V1\scenes\WeaponData.gd", "GDScript", 0, 6, 1, 1, 8
"d:\Program\GameProgramming\GameExplorer_V1\scenes\door.tscn", "GDScene", 55, 0, 0, 12, 67
"d:\Program\GameProgramming\GameExplorer_V1\scenes\goblin.gd", "GDScript", 0, 201, 33, 65, 299
"d:\Program\GameProgramming\GameExplorer_V1\scenes\goblin.tscn", "GDScene", 426, 0, 0, 104, 530
"d:\Program\GameProgramming\GameExplorer_V1\scenes\player.tscn", "GDScene", 499, 0, 0, 78, 577
"d:\Program\GameProgramming\GameExplorer_V1\scenes\skelontonEnemy.gd", "GDScript", 0, 463, 97, 136, 696
"d:\Program\GameProgramming\GameExplorer_V1\scenes\skelontonEnemy.tscn", "GDScene", 303, 0, 0, 55, 358
"d:\Program\GameProgramming\GameExplorer_V1\scenes\slime.gd", "GDScript", 0, 111, 32, 37, 180
"d:\Program\GameProgramming\GameExplorer_V1\scenes\slime.tscn", "GDScene", 53, 0, 0, 14, 67
"Total", "-", 1460, 1510, 377, 753, 4100
